"Brand_Reg","Mean(Avg_mode_power)"
"ARK",14
"TENET",15.3
"LSP TV",16.1569
"STAN CASH",16.1569
"MONSTER",17.4625
"UNIDEN",19.166666666666668
"WINTAL",19.4
"MITSUMARU",19.5
"ALTIUS",19.502666666666666
"DYNALINK",19.8
"VDT",20.64
"SPHERE",22.766923076923078
"RCA",23.89
"DIGITECH",24.979999999999997
"VISIONE",25.403333333333332
"BREWO",26.23
"MYVI",26.256
"FURRION",27.035
"SHARETV",28.1
"AVEL INNOVATIONS",29.236666666666668
"ZEN TV",29.3275
"ILUMA",31.23
"FPD",31.68
"CAIXUN",33.31096774193549
"BROOKLYN",33.5
"WALTON",33.92666666666666
"EVOKE",35.323
"GORILLA",35.5
"ENGLAON",40.358333333333334
"BELGIQUE",40.85666666666667
"TEAC",42.542
"AOA",43.578
"TELEFUNKEN",49.49999999999999
"PLATINUM",50.628
"TECO",51.077
"SMARTTECH",53.178000000000004
"FFALCON",55.74285714285715
"POLAROID",56.069733333333325
"AKAI",56.435736842105264
"HUBBL GLASS",57.72
"Q.BELL",59.05
"SVISION",59.618142857142864
"THOMSON",61.417500000000004
"BLUESEN",62.13666666666666
"AIWA",63.39944680851063
"VEON",64.11366666666666
"KODAK",64.5928
"HUBBL",64.71
"COOCAA",68.725
"BAUHN",70.80576404494379
"KONKA",73.27383902439027
"SYLVOX",74.55608165413533
"SKYWORTH",74.62062500000002
"KONIC",76.25077647058824
"YOKOHAMA",81.28999999999999
"LINSAR",81.35818181818182
"JVC",83.87376176470588
"LOEWE",84.01315789473684
"QBELL",85.3790909090909
"DGTEC",87.72186666666667
"TRANSONIC",89.705
"CHIQ",90.49764285714286
"SMTV",91.2938
"SONIQ",92.076
"BLAUPUNKT",93.32404786324786
"PANASONIC",94.26567346938776
"EKO",95.64844062500003
"HYUNDAI",97.82090909090908
"SIGNIFY",98.268
"PHILIPS",100.52260504201685
"SHENZHEN XINCHAODA TECHNOLOGY CO., LTD",103.045
"S VISION",103.3
"METZ",104.36999999999999
"SHARP",105.42812500000001
"PALSONIC",105.43
"DECAMAX",106.68
"TOSHIBA",108.11089285714284
"PRISM+",109.5415
"KOGAN",110.29353940182047
"AVIO",123.27799999999999
"HISENSE",125.30720338983052
"LG",128.1839469808541
"TAVICE",130.03
"DISHTV",137.23333333333335
"TCL",141.42016129032257
"SAMSUNG",150.10629072681718
"SONY",151.05760869565216
"EMETE",182.03399999999996
"DEVANTI",203.37
"SPARK ELECTRONICS",223.7775862068966
