"Star","Screen_Size_Category"
"10.0","24"
"10.0","55"
"10.0","55"
"10.0","65"
"10.0","75"
"10.0","75"
"9.0","24"
"9.0","32"
"9.0","32"
"9.0","32"
"9.0","32"
"9.0","32"
"9.0","32"
"9.0","32"
"9.0","32"
"9.0","32"
"9.0","32"
"9.0","43"
"9.0","43"
"9.0","43"
"9.0","43"
"9.0","43"
"9.0","43"
"9.0","43"
"9.0","43"
"9.0","43"
"9.0","55"
"9.0","55"
"9.0","65"
"9.0","65"
"9.0","65"
"9.0","65"
"9.0","65"
"9.0","65"
"9.0","65"
"9.0","75"
"9.0","75"
"9.0","75"
"9.0","75"
"9.0","75"
"9.0","75"
"9.0","75"
"8.0","24"
"8.0","24"
"8.0","24"
"8.0","24"
"8.0","24"
"8.0","24"
"8.0","24"
"8.0","24"
"8.0","32"
"8.0","32"
"8.0","32"
"8.0","32"
"8.0","32"
"8.0","32"
"8.0","32"
"8.0","32"
"8.0","32"
"8.0","32"
"8.0","32"
"8.0","32"
"8.0","43"
"8.0","43"
"8.0","43"
"8.0","43"
"8.0","43"
"8.0","43"
"8.0","43"
"8.0","43"
"8.0","43"
"8.0","43"
"8.0","43"
"8.0","43"
"8.0","43"
"8.0","43"
"8.0","43"
"8.0","43"
"8.0","43"
"8.0","43"
"8.0","43"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","55"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","65"
"8.0","75"
"8.0","75"
"8.0","75"
"8.0","75"
"8.0","75"
"8.0","75"
"8.0","75"
"8.0","75"
"8.0","75"
"7.0","24"
"7.0","24"
"7.0","24"
"7.0","24"
"7.0","24"
"7.0","24"
"7.0","24"
"7.0","24"
"7.0","24"
"7.0","24"
"7.0","24"
"7.0","24"
"7.0","24"
"7.0","24"
"7.0","24"
"7.0","24"
"7.0","24"
"7.0","24"
"7.0","24"
"7.0","24"
"7.0","24"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","32"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","43"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","55"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","65"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"7.0","75"
"6.0","24"
"6.0","24"
"6.0","24"
"6.0","24"
"6.0","24"
"6.0","24"
"6.0","24"
"6.0","24"
"6.0","24"
"6.0","24"
"6.0","32"
"6.0","32"
"6.0","32"
"6.0","32"
"6.0","32"
"6.0","32"
"6.0","32"
"6.0","32"
"6.0","32"
"6.0","32"
"6.0","32"
"6.0","32"
"6.0","32"
"6.0","32"
"6.0","32"
"6.0","43"
"6.0","43"
"6.0","43"
"6.0","43"
"6.0","43"
"6.0","43"
"6.0","43"
"6.0","43"
"6.0","55"
"6.0","55"
"6.0","55"
"6.0","55"
"6.0","55"
"6.0","55"
"6.0","55"
"6.0","65"
"6.0","65"
"6.0","65"
"5.5","24"
"5.5","24"
"5.5","24"
"5.5","43"
"5.5","55"
"5.5","55"
"5.5","55"
"5.0","24"
"5.0","24"
"5.0","43"
"5.0","55"
"4.5","32"
"4.5","43"
"4.0","32"
"4.0","32"
"4.0","43"
"4.0","43"
"2.0","32"
"1.0","24"
"1.0","32"
"1.0","55"
