"Avg_mode_power","Star"
105.156,"1.0"
43.25,"1.0"
28.3,"1.0"
130,"2.0"
155,"4.0"
155,"4.0"
86.8,"4.0"
86.8,"4.0"
75.52,"4.5"
145.1,"4.5"
112,"5.0"
45.78,"5.0"
165.9,"5.0"
29.9,"5.0"
100,"5.5"
137,"5.5"
137,"5.5"
31.7,"5.5"
28.1,"5.5"
27.2,"5.5"
159.72,"5.5"
89,"6.0"
122,"6.0"
50,"6.0"
70,"6.0"
90,"6.0"
48.2,"6.0"
48.2,"6.0"
69.4,"6.0"
24.2,"6.0"
32.1,"6.0"
51,"6.0"
69,"6.0"
90,"6.0"
101.56,"6.0"
101.56,"6.0"
136,"6.0"
76.21,"6.0"
119.5,"6.0"
35.3,"6.0"
74.14,"6.0"
121,"6.0"
24.1,"6.0"
24.1,"6.0"
185.8,"6.0"
30,"6.0"
114.26,"6.0"
28.5,"6.0"
21.77,"6.0"
110.98,"6.0"
28.5,"6.0"
160.5,"6.0"
28.6,"6.0"
160,"6.0"
32.9,"6.0"
32.9,"6.0"
106.68,"6.0"
27.9,"6.0"
27,"6.0"
27,"6.0"
73,"6.0"
122,"6.0"
25.4,"6.0"
25.4,"6.0"
25,"7.0"
39,"7.0"
19.08,"7.0"
24.41,"7.0"
22.86,"7.0"
62.2,"7.0"
48.5,"7.0"
33.6,"7.0"
33.6,"7.0"
51.25,"7.0"
51.25,"7.0"
36.14,"7.0"
36.31,"7.0"
15.09,"7.0"
20.2,"7.0"
24,"7.0"
59.12,"7.0"
59.36,"7.0"
65,"7.0"
58,"7.0"
60.95,"7.0"
36.14,"7.0"
36.14,"7.0"
60.95,"7.0"
99.8,"7.0"
24.3,"7.0"
20.2,"7.0"
28,"7.0"
28,"7.0"
57,"7.0"
77.7,"7.0"
58.6,"7.0"
60,"7.0"
86.68,"7.0"
60.19,"7.0"
118.93,"7.0"
20.2,"7.0"
36.1,"7.0"
37.47,"7.0"
59.36,"7.0"
93.8,"7.0"
70.5,"7.0"
117.86,"7.0"
35,"7.0"
103.87,"7.0"
19.9,"7.0"
125.05,"7.0"
34.01,"7.0"
23.3,"7.0"
23.3,"7.0"
34.62,"7.0"
34.04,"7.0"
102,"7.0"
95.5,"7.0"
134.8,"7.0"
81.48,"7.0"
155.49,"7.0"
42.32,"7.0"
52.83,"7.0"
77,"7.0"
130.6,"7.0"
171,"7.0"
206,"7.0"
133.1,"7.0"
147.1,"7.0"
180.9,"7.0"
334.5,"7.0"
223,"7.0"
277.9,"7.0"
73.5,"7.0"
335.3,"7.0"
138,"7.0"
126,"7.0"
105.8,"7.0"
79.9,"7.0"
42.9,"7.0"
43.1,"7.0"
43.1,"7.0"
41.7,"7.0"
75,"7.0"
113.6,"7.0"
47.1,"7.0"
74.4,"7.0"
52.3,"7.0"
55.5,"7.0"
137.7,"7.0"
53.5,"7.0"
76,"7.0"
75.2,"7.0"
99,"7.0"
119.8,"7.0"
74.3,"7.0"
108.5,"7.0"
165.5,"7.0"
139.5,"7.0"
175.3,"7.0"
281,"7.0"
77,"7.0"
96,"7.0"
95,"7.0"
107,"7.0"
133,"7.0"
187,"7.0"
180.5,"7.0"
223.7,"7.0"
80.28,"7.0"
171.2,"7.0"
201,"7.0"
97.96,"7.0"
35.47,"7.0"
100.2,"7.0"
128.4,"7.0"
94.8,"7.0"
113.4,"7.0"
175.6,"7.0"
128.1,"7.0"
49.7,"7.0"
41.8,"7.0"
56.1,"7.0"
74.7,"7.0"
175.4,"7.0"
237.5,"7.0"
82.7,"7.0"
19.6,"7.0"
19.6,"7.0"
19.6,"7.0"
96.5,"7.0"
74.4,"7.0"
41.8,"7.0"
49.7,"7.0"
36.7,"7.0"
43.1,"7.0"
24.1,"7.0"
60,"7.0"
78,"7.0"
99,"7.0"
98,"7.0"
174.7,"7.0"
113.8,"7.0"
278.5,"7.0"
152.2,"7.0"
248.6,"7.0"
68.4,"7.0"
54,"7.0"
128.1,"7.0"
123.8,"7.0"
182.7,"7.0"
208.3,"7.0"
440.5,"7.0"
101.1,"7.0"
35.1,"7.0"
183,"7.0"
47.1,"7.0"
52.3,"7.0"
55.5,"7.0"
74.4,"7.0"
113.6,"7.0"
106,"7.0"
132,"7.0"
306,"7.0"
97.8,"7.0"
174.4,"7.0"
35.6,"7.0"
22.6,"7.0"
25.03,"7.0"
51.44,"7.0"
51.44,"7.0"
51.44,"7.0"
51.44,"7.0"
35.6,"7.0"
50.3,"7.0"
53,"7.0"
141.108,"7.0"
73.5,"7.0"
123.8,"7.0"
43.6,"7.0"
91.4,"7.0"
197.4,"7.0"
139.758,"7.0"
28.1,"7.0"
212,"7.0"
408.9,"7.0"
58.2,"7.0"
58.4,"7.0"
86.9,"7.0"
106.6,"7.0"
122,"7.0"
176.1,"7.0"
208.1,"7.0"
212.4,"7.0"
191.2,"7.0"
41.8,"7.0"
49.2,"7.0"
58.4,"7.0"
77.6,"7.0"
111.2,"7.0"
91.4,"7.0"
89.1,"7.0"
105.7,"7.0"
134.6,"7.0"
148.2,"7.0"
197.4,"7.0"
226,"7.0"
295.9,"7.0"
600,"7.0"
84,"7.0"
103,"7.0"
140,"7.0"
146,"7.0"
160.8,"7.0"
92.8,"7.0"
92.8,"7.0"
92.8,"7.0"
92.8,"7.0"
92.8,"7.0"
92.8,"7.0"
191,"7.0"
143.6,"7.0"
115.4,"7.0"
103.5,"7.0"
90.7,"7.0"
93.1,"7.0"
88.8,"7.0"
106,"7.0"
87.6,"7.0"
190,"7.0"
175.2,"7.0"
86.5,"7.0"
115,"7.0"
140,"7.0"
175.2,"7.0"
148.6,"7.0"
60.2,"7.0"
134.4,"7.0"
75,"7.0"
50.5,"7.0"
186.5,"7.0"
107.4,"7.0"
128.9,"7.0"
172.4,"7.0"
165.6,"7.0"
104.7,"7.0"
164,"7.0"
42.7,"7.0"
50,"7.0"
77.1,"7.0"
97.2,"7.0"
239.2,"7.0"
280,"7.0"
30.3,"7.0"
313.1,"7.0"
30.3,"7.0"
72.7,"7.0"
72.7,"7.0"
72.7,"7.0"
55.9,"7.0"
55.9,"7.0"
55.9,"7.0"
160.3,"7.0"
160.3,"7.0"
160.3,"7.0"
96.7,"7.0"
56.2,"7.0"
97.6,"7.0"
193.2,"7.0"
190.9,"7.0"
157.4,"7.0"
57,"7.0"
58.6,"7.0"
186.5,"7.0"
42.4,"7.0"
50,"7.0"
96.8,"7.0"
211.6,"7.0"
129.1,"7.0"
99.5,"7.0"
29.54,"8.0"
56,"8.0"
70,"8.0"
13.3,"8.0"
76,"8.0"
104.56,"8.0"
32.73,"8.0"
50.27,"8.0"
18.8,"8.0"
108.23,"8.0"
84.978,"8.0"
108.6,"8.0"
42.65,"8.0"
122.59,"8.0"
92.33,"8.0"
92.33,"8.0"
92.33,"8.0"
75.43,"8.0"
75.43,"8.0"
75.43,"8.0"
28.33,"8.0"
46.99,"8.0"
153.24,"8.0"
161.64,"8.0"
77,"8.0"
140,"8.0"
81,"8.0"
28,"8.0"
125,"8.0"
121,"8.0"
56,"8.0"
64.17,"8.0"
77.67,"8.0"
56,"8.0"
120.81,"8.0"
160.49,"8.0"
200.76,"8.0"
50.44,"8.0"
72.1,"8.0"
46.6632,"8.0"
73.9,"8.0"
114.8,"8.0"
84.048,"8.0"
31.78,"8.0"
114,"8.0"
71.99,"8.0"
86.54,"8.0"
44.99,"8.0"
31.1544,"8.0"
124,"8.0"
124,"8.0"
34.67,"8.0"
80.814,"8.0"
80.814,"8.0"
80.814,"8.0"
80.814,"8.0"
80.814,"8.0"
16.5,"8.0"
20.3,"8.0"
20.3,"8.0"
20.3,"8.0"
65.85,"8.0"
76.53,"8.0"
51.888,"8.0"
83.91,"8.0"
113.136,"8.0"
119.01,"8.0"
57.65,"8.0"
20.24,"8.0"
170,"8.0"
114.354,"8.0"
82.11,"8.0"
60.564,"8.0"
29.55,"8.0"
72.6,"8.0"
93.25,"8.0"
76.8,"8.0"
117.3,"8.0"
97.7,"8.0"
20.96,"8.0"
31.2,"8.0"
43.6,"8.0"
69.8,"8.0"
64.3,"8.0"
78.3,"8.0"
100.68,"8.0"
83.4,"8.0"
95.8,"8.0"
136.8,"8.0"
54.9,"8.0"
