"Brand_Reg","Count*(Submit_ID)"
"ARK",1
"BREWO",1
"BROOKLYN",1
"DECAMAX",1
"DEVANTI",1
"DYNALINK",1
"HUBBL",1
"LSP TV",1
"MITSUMARU",1
"PALSONIC",1
"RCA",1
"S VISION",1
"SHARETV",1
"SIGNIFY",1
"SONIQ",1
"STAN CASH",1
"TAVICE",1
"TENET",1
"VDT",1
"WINTAL",1
"GORILLA",2
"HUBBL GLASS",2
"Q.BELL",2
"TRANSONIC",2
"AVEL INNOVATIONS",3
"DISHTV",3
"FPD",3
"UNIDEN",3
"VISIONE",3
"YOKOHAMA",3
"FURRION",4
"MONSTER",4
"SHENZHEN XINCHAODA TECHNOLOGY CO., LTD",4
"THOMSON",4
"ZEN TV",4
"AOA",5
"AVIO",5
"KODAK",5
"MYVI",5
"PLATINUM",5
"SMARTTECH",5
"SMTV",5
"ALTIUS",6
"BLUESEN",6
"METZ",6
"SVISION",7
"PRISM+",8
"BELGIQUE",9
"DIGITECH",9
"EVOKE",10
"TECO",10
"HYUNDAI",11
"QBELL",11
"SPHERE",13
"ILUMA",14
"DGTEC",15
"POLAROID",15
"TEAC",15
"COOCAA",16
"SHARP",16
"SKYWORTH",16
"KONIC",17
"TELEFUNKEN",17
"WALTON",24
"SPARK ELECTRONICS",29
"FFALCON",35
"AKAI",38
"LOEWE",38
"KONKA",41
"ENGLAON",42
"LINSAR",44
"AIWA",47
"EMETE",55
"CHIQ",56
"TOSHIBA",56
"CAIXUN",62
"VEON",84
"BAUHN",89
"SONY",92
"PANASONIC",98
"BLAUPUNKT",117
"PHILIPS",119
"TCL",124
"SYLVOX",133
"JVC",136
"EKO",192
"HISENSE",354
"LG",679
"KOGAN",769
"SAMSUNG",1197
