"Avg_mode_power","screenInch"
130,32
25,22
100,42
137,50
29.54,32
39,32
56,42
70,47
112,42
137,50
89,42
122,50
26.57,32
23.07,32
50,32
70,39
90,46
75.52,32
155,46
155,46
19.08,19
24.41,24
22.86,22
48.2,32
48.2,32
69.4,39
62.2,42
48.5,37
26.57,32
86.8,32
45.78,24
86.8,32
24.2,19
31.7,22
32.1,24
28.1,19
51,32
69,39
90,46
33.6,32
33.6,32
51.25,39
51.25,39
101.56,48
101.56,48
145.1,46
136,58
76.21,42
36.14,32
119.5,49
36.31,32
15.09,16
35.3,24
13.3,16
20.2,19
24,22
74.14,39
59.12,42
59.36,40
24.36,32
65,42
121,50
23.87,32
76,55
58,40
60.95,39
36.14,32
36.14,32
60.95,40
99.8,55
24.3,22
20.2,19
24.1,19
28,24
28,24
57,40
104.56,65
77.7,50
58.6,40
60,41
24.1,19
86.68,50
60.19,43
118.93,60
20.2,19
36.1,32
37.47,32
59.36,40
93.8,50
165.9,55
185.8,64
30,24
70.5,48
114.26,55
117.86,60
28.5,24
35,32
21.77,19
110.98,55
103.87,55
19.9,19
32.73,32
28.5,24
125.05,61
34.01,32
27.2,21
23.3,24
23.3,24
34.62,32
34.04,31
102,55
160.5,65
95.5,49
134.8,60
29.9,19
28.6,24
50.27,40
18.8,24
81.48,49
108.23,60
155.49,70
42.32,32
52.83,40
77,49
84.978,55
108.6,65
42.65,40
107.54,65
61.76,50
75.31,55
25.93,32
96.71,55
203.37,75
125.66,75
20.9,24
139.54,70
220,64
220,64
220,64
73.7,43
73.7,43
73.7,43
73.7,43
242,75
242,75
242,75
95.9,49
95.9,49
95.9,49
95.9,49
136,64
173.3,75
57,55
70.4,65
111.93,55
111.08,70
151.23,65
22,24
284.19,75
72,49
95,55
138,64
119.45,65
57.75,43
153,70
33,32
31.27,40
227.42,85
191.4,75
191.4,75
72.3,55
28,31
28,31
228.29,85
56.97,50
25.21,32
25.21,32
25.21,32
25.21,32
59.24,43
59.24,43
59.24,43
59.24,43
38.82,39
38.82,39
38.82,39
38.82,39
63.94,55
14.61,19
14.61,19
79,43
95,49
113,55
156,65
180,75
241,86
130.6,55
171,64
206,75
135,65
66.16,50
111,55
63.45,43
81.49,55
107.27,65
93.82,50
120,65
164,65
220,65
106.97,75
91.7,65
149.34,70
134.4,64
160,69
305.2,85
78.3,49
102.9,58
50,39
125,64
125,64
140.1,70
169.86,75
104.9,55
115.41,58
198,55
127.8,65
43,41
168.2,82
28,31
122.59,65
58.47,50
178,70
157.82,70
128.8,60
33.52,32
28,31
65,42
95.274,65
225,85
225,85
270.3,85
84,55
104,64
195,75
133.1,55
147.1,64
180.9,75
334.5,85
69,42
78,49
194.11,65
16.1448,19
88,55
88,55
117,64
117,64
155,75
155,75
176,85
176,85
82,49
72,42
131.33,75
50.909,42
41.5,40
106.02,55
76.37,58
47.72,42
92.66,65
92.33,55
92.33,55
92.33,55
172.02,85
135,69
135,69
135,69
75.43,50
75.43,50
75.43,50
139.4,65
103.3,55
59,39
17.38,23
43.23,43
47.37,48
54.84,55
131.3,64
140.3,55
308,98
308,98
84.82,55
55.35,50
106.97,75
223,64
277.9,75
103.48,55
36.95,32
132.81,65
96.3,65
100.2,70
127.8,65
18,24
21.96,24
73.5,64
335.3,97
138,60
18,24
67.65,50
34.47,32
25.92,32
80.04,58
167.08,75
126,75
105.8,57
95.7,70
24.3,32
172,65
172,65
50.28,40
152.07,65
106.02,70
78,49
80,55
115,65
140,75
92.8,49
26,32
41.38,42
93.12,50
93.12,50
146.3,70
146.3,70
128.4,65
128.4,65
306.3,85
219,75
94.22,55
94.22,55
64,43
25.92,32
17.74,24
79.9,42
108.56,64
108.56,64
208.8,75
51.04,43
51.04,43
111.72,75
105.46,55
105.46,55
95.274,65
25.5,32
25.92,32
41.5,40
17.74,24
62.33,50
62.33,50
94.45,65
94.45,65
70.66,55
70.66,55
105.9,55
126.93,65
54.5,40
25.5,32
140,55
140,55
205,65
205,65
237,75
28.33,32
38.85,43
28.1,21
113,55
148,55
148,55
57.3,40
47.3,40
169.26,75
169.26,75
36.2,32
65,42
180,65
180,65
69,43
91,55
85,49
116,65
154,75
71,49
36.4,43
36.4,43
36.4,43
66.49,46
35.8,39
182,75
53.2,43
64.01,50
109.86,75
195,75
195,75
72.81,58
94.36,65
18.4,24
20.12,24
77,55
38.92,40
138,75
16.1569,18
120,65
156,64
94.12,58
206.62,75
126.96,70
167.26,70
85.3,60
159.1,85
100.64,65
103.61,55
98.45,55
109.48,65
78,49
101,55
118,65
40,39
40,39
95.274,65
95.274,65
15.12,19
32.7,31
96.1,65
70,42
84,49
57.6,41
100.2,55
84.4,49
47.23,43
47.23,43
47.23,43
47.23,43
50.6,50
50.6,50
50.6,50
50.6,50
50.6,50
53.64,55
53.64,55
53.64,55
53.64,55
65.21,58
65.21,58
65.21,58
65.21,58
65.21,58
42.9,42
74.9,57
34.48,32
53.64,55
27.42,32
34.7,32
46.99,42
46.11,50
57.97,55
100.78,65
153.24,75
47.23,43
161.64,75
34.52,40
34.52,40
34.52,40
34.52,40
34.52,40
115,55
144,65
34.52,40
34.52,40
34.52,40
34.52,40
34.52,40
34.52,40
34.52,40
34.52,40
26.23,24
20.5,24
113,65
51.49,43
227.32,75
174.22,75
54.82,50
120,65
158,75
158,75
184,86
184,86
76,48
86,55
86,55
102,55
95,55
95,55
107,65
107,65
126,65
112,65
112,65
140,77
140,77
179,83
179,83
42.3,41
160,65
63,42
63,42
77,48
77,48
75,43
75,43
77,43
90,49
90,49
80,49
80,49
78,49
114,55
114,55
94,55
94,55
98,55
144,65
144,65
118,65
118,65
148,65
181,75
181,75
134,75
134,75
172,75
250,86
250,86
250,86
214.72,86
114,55
114,55
114,55
157,75
157,75
157,75
202,85
202,85
202,85
104,60
119,65
119,65
119,65
119,65
167,75
167,75
167,75
212,75
212,75
212,75
75,43
75,43
90,49
90,49
97,55
114,55
114,55
148,65
165,75
165,75
198,86
198,86
27.2,32
178,85
178,85
178,85
73,43
73,43
73,43
99.95,65
99.95,65
99.95,65
93,64
94,49
94,49
94,49
94,49
113,55
113,55
113,55
113,55
150,65
150,65
150,65
173,75
173,75
173,75
223,85
223,85
223,85
73,43
306,65
306,65
306,65
35,40
27,32
24.2,24
112,49
112,49
112,49
245,75
245,75
245,75
115.1,55
115.1,55
145,65
95,55
95,55
152,77
152,77
109,65
109,65
126,77
339,75
339,75
339,75
389,85
389,85
389,85
162,55
162,55
162,55
304,85
304,85
304,85
54.8,50
99,43
99,43
99,43
96,49
96,49
96,49
140,55
140,55
140,55
136,55
136,55
136,55
158,65
158,65
158,65
158,65
158,65
158,65
195,75
195,75
195,75
250,85
250,85
250,85
78,43
93,49
169,75
250,86
28.2,40
317.2,85
59.9,49
87.2,55
115.1,55
115.1,55
23.28,24
43.1,39
129.6,65
32.9,31
43.1,39
32.9,31
101.4,55
235.8,85
126.2,55
191.3,75
260.1,85
310,65
310,65
310,65
439,85
439,85
439,85
147.6,65
395,75
395,75
395,75
92,43
92,43
92,43
203,65
203,65
203,65
213,65
213,65
213,65
195,85
195,85
195,85
206,65
206,65
206,65
173,55
173,55
173,55
41.7,42
223,55
267,75
267,75
267,75
337,85
337,85
337,85
245,65
245,65
245,65
134,65
134,65
116,55
116,55
28.58,24
103.7,55
24.61,32
121.1,65
169.7,77
198.1,75
149.8,65
73,43
75,49
93,49
114,55
114,65
152,65
212,65
212,65
127,65
126,75
232,75
232,75
165,75
328,86
328,86
262,77
320,88
320,88
50.6,50
50.6,50
108.2,65
116,55
116,55
134,65
134,65
138,49
273,75
273,75
273,75
26.7,32
82,43
82,43
82,43
82,43
96,50
68,43
79,49
158,55
158,55
158,55
86,55
114,65
157,75
126.7,55
87,55
87,55
87,55
87,55
70,43
70,43
70,43
80,49
80,49
80,49
183,75
183,75
183,75
183,75
183,75
117,65
117,65
117,65
117,65
117,65
152,65
172,75
250,86
54.8,50
137.7,65
22,24
22,24
105.8,57
36.32,40
25.92,40
35.8,39
226,65
242,75
292,85
160,70
181,83
181,83
136,65
83,43
83,43
83,43
83,43
90,49
75,49
77,55
87,65
140,75
81,55
87,65
69.6,55
35.3,39
113.6,75
47.1,42
74.4,64
52.3,49
55.5,55
35,40
87.3,55
115,55
145,65
171,75
20.2,24
159.1,85
26.7,32
100.9,55
84,48
93.6,49
136.6,55
179.5,65
224.4,75
237.7,85
189.3,74
93,64
159.1,85
63.94,55
159.1,85
35.8,39
35.8,39
35.8,39
77,49
146,75
156,64
28,31
39,31
39,31
39,31
39,31
76.9,42
24.01,24
102,55
102,55
132,65
132,65
160,75
160,75
206,86
206,86
68,42
24.37,24
39.33,32
68.2,40
137.3,65
122,57
18,24
18,24
50.6,50
53.64,55
22,24
35,31
50,39
41.95,40
137.7,65
49.98,42
35.3,39
53.5,42
76,49
75.2,55
99,64
119.8,75
28,32
86.3,49
126,65
126,65
126,65
126,65
126,65
126,65
126,65
182.3,70
182.3,70
182.3,70
182.3,70
182.3,70
182.3,70
15.8694,19
22.3,24
22.3,24
22.3,24
22.3,24
22.3,24
22.3,24
59.7,49
137.3,65
104.9,70
19.5,22
74.3,55
108.5,64
165.5,75
139.5,55
175.3,64
281,75
59.7,49
155,65
155,65
155,65
51.8,42
34.4,32
32.8,39
32.8,39
107.4,70
142,55
142,55
142,55
72,49
95,55
113,55
156,65
15.85,24
77,48
16.1569,19
96,55
125,65
95,55
121,65
107,55
133,65
187,77
31,31
51,39
65,42
112,57
138,64
83,55
102.1,55
61.92,50
61.92,50
61.92,50
76.49,55
76.49,55
76.49,55
61.66,43
61.66,43
116.25,65
116.25,65
81.32,49
81.32,49
114.36,75
29.57,32
29.57,32
29.57,32
29.57,32
29.57,32
29.57,32
29.57,32
35.18,40
35.18,40
35.18,40
35.18,40
35.18,40
35.18,40
35.18,40
35.97,43
35.97,43
35.97,43
35.97,43
35.97,43
35.97,43
35.97,43
188.97,75
59.9,49
76.044,55
31.814,31
93.324,55
61.66,43
99.01,65
99.01,65
129.79,75
129.79,75
99.01,65
129.79,75
167.38,85
167.38,85
167.38,85
126,58
59.47,50
35.4,32
198,64
51.8,42
94,49
113,55
94.43,55
94.43,55
73,43
119,65
157,75
79.33,58
51.12,43
67.75,50
63.89,55
82.49,65
61.3,49
61.3,49
127.69,75
127.69,75
180.5,85
223.7,85
72.57,55
72.57,55
77,43
93,49
114,55
145,65
165,75
63,42
63,42
77,48
77,48
95,55
95,55
16.3,24
16.3,24
16.3,24
16.3,24
16.3,24
16.3,24
85.3,60
189.42,74
137.3,65
93.43,65
56,43
64.17,49
93.65,65
77.67,55
118.27,75
56,43
80.28,49
159.72,55
120.81,65
160.49,75
83.38,55
104.92,65
77,49
86.25,55
63.8,50
96.15,65
18,24
18,24
18,24
200.76,85
23.798,32
25.8,31
32,38
32,38
32,38
32,38
32,38
32,38
78,49
80,55
115,65
35.9,39
35.9,39
35.9,39
35.9,39
35.9,39
35.9,39
140,75
38.3,41
38.3,41
38.3,41
38.3,41
38.3,41
38.3,41
39.5,42
39.5,42
39.5,42
39.5,42
39.5,42
39.5,42
171.2,64
201,75
127.7,75
109,65
270,86
91,55
43.9,41
92.3,55
92.3,55
115.68,65
115.68,65
148.69,75
148.69,75
214.94,85
214.94,85
25.32,32
32.9,40
438,98
438,98
438,98
92.3,55
115.68,65
148.69,75
214.94,85
70,43
80,49
87,55
117,65
183,75
40,39
40,39
97.96,55
35.47,32
50.44,42
34.7106,40
34.7106,40
102,55
102,55
126,65
126,65
156,77
156,77
63,42
63,42
73,49
94,55
114,65
130,75
100.2,55
35.2,32
128.4,65
50.6,50
53.64,55
99.95,65
26.4498,32
26.4498,32
17.1498,24
17.1498,24
219,97
219,97
17.74,19
17.74,19
110.52,55
24.81,22
24.81,22
26.67,24
26.67,24
97.8,70
93.324,55
115.84,55
115.84,55
159.55,65
159.55,65
199.36,75
199.36,75
25.8,31
35.9,39
106.68,55
27.9,31
24.81,22
98.268,55
31.9,32
31.9,32
115.84,55
31.9,32
36.7,40
124.968,64
124.968,64
124.968,64
102,54
102,54
102,54
73,42
34.4,32
199.36,75
159.55,65
14,24
214.416,98
59.7,49
50.5,40
31.9,32
31.9,32
30,31
124.968,64
93.324,55
96.06,55
111.39,65
228.91,75
124.968,64
53.64,55
70,55
87,65
72.1,50
94.8,55
36.27,40
36.27,40
36.27,40
113.4,65
47.02,40
221.6,74
102.36,49
243.11,75
78.58,55
92.33,65
213.74,75
168.67,65
108.3,65
256.93,98
256.93,98
256.93,98
203.32,85
170.6,82
38.46,32
38.46,32
38.46,32
31.98,24
175.6,75
128.1,64
90.1,55
113.4,65
49.7,64
41.8,55
75,43
90,49
114,55
148,65
165,75
250,86
46.6632,43
62.5,55
53.8,49
80.7,60
25,24
25,24
32.18,32
32.18,32
32.18,32
32.18,32
32.18,32
32.18,32
47.76,42
47.76,42
28.2,32
133,75
28,31
56.1,57
40.38,40
74.7,50
73.9,55
114.8,64
175.4,75
237.5,86
108.1,74
259.3,75
259.3,75
96.3,65
40.38,40
30.28,24
30.28,24
30.28,24
30.28,24
30.28,24
30.28,24
171.7,70
189.9,70
221.6,74
84.048,55
47.02,40
32.18,32
30.28,24
106.2,58
101.98,50
60.73,49
82.7,50
24.687,32
144.2,70
80.7,60
159,85
39.9,39
266,85
266,85
266,85
266,85
45.5,43
82.938,55
72.4,55
96.3,65
19.6,24
19.6,24
19.6,24
96.3,65
96.3,65
96.3,65
126.2,55
147.6,65
39.9,39
107.98,70
22.1,24
75,49
75,49
75,49
75,49
22.5,24
158,64
158,64
158,64
158,64
182,75
182,75
182,75
182,75
92,55
92,55
92,55
92,55
110,64
110,64
110,64
110,64
110,64
29.05,24
25.84,24
25.84,24
25.84,24
27.1,32
95.274,65
103.7,55
121.1,65
56.7,49
68.5,55
22.2,24
108.1,74
104,49
104,49
104,49
104,49
15.1,24
23.5,32
31.78,32
44.6,43
68.98,54
33,32
15.1,24
23.5,32
23.5,32
44.2,42
33.3,32
33.3,32
33.3,32
56.7,49
44.2,42
44.2,42
44.2,42
44.2,42
33.3,32
169.7,77
55,42
55,42
55,42
55,42
55,42
23.8,32
94.65,64
29.15,32
53,42
84.4,49
123.94,70
54.04,42
54.04,42
54.04,42
69.64,55
127.7,75
105.156,58
114,65
96.5,55
74.4,48
86.04,55
71.99,50
86.54,55
41.8,55
137,60
56.7,49
108.1,74
44.99,40
31.1544,32
228,85
121,55
144.3,65
63,42
63,42
75,48
75,48
77,48
77,48
84,55
84,55
99,55
99,55
95,55
95,55
115,55
115,55
103,65
103,65
121,65
121,65
112,65
112,65
145,65
145,65
158,77
158,77
153,77
153,77
196,77
196,77
238,77
179,83
179,83
181,83
181,83
16.17,24
187.9,75
238.7,85
107,65
107,65
107,65
107,65
75.58,55
148.05,65
76,49
76,49
76,49
80,49
80,49
94,55
94,55
118,65
118,65
134,75
134,75
198,86
198,86
70,43
70,43
70,43
87,55
87,55
87,55
87,55
94,49
94,49
94,49
113,55
113,55
113,55
107,55
144.6,65
73.254,55
173,85
173,85
173,85
155,65
155,65
155,65
186,75
186,75
186,75
49.7,64
73,43
73,43
78,49
78,49
97,55
97,55
127,65
127,65
165,75
250,86
36.7,42
43.1,49
16.17,24
70,43
70,43
70,43
159.3,75
110.448,65
137,65
137,65
137,65
153,75
153,75
153,75
70,43
70,43
70,43
70,43
89,50
89,50
89,50
89,50
98,55
98,55
98,55
98,55
123,65
123,65
123,65
123,65
70.2,42
158,75
158,75
158,75
245,85
245,85
245,85
33.27,32
112,55
112,55
112,55
43,31
112,55
112,55
112,55
206,85
206,85
206,85
263,65
263,65
263,65
292,75
292,75
292,75
165,75
165,75
165,75
216,85
216,85
216,85
153,65
153,65
153,65
203,75
203,75
203,75
259,85
259,85
259,85
114,55
114,55
114,55
145,65
145,65
145,65
340,75
340,75
340,75
190,65
373,85
373,85
373,85
73,43
78,49
97,55
127,65
155,65
155,65
155,65
93,50
214,75
303,85
303,85
303,85
280,65
280,65
280,65
94.65,64
28,31
28,31
28,31
194,75
194,75
194,75
247,85
247,85
247,85
183,75
183,75
183,75
183,75
168,55
165,75
68.5,55
214.5,75
207,83
40,39
27.1,32
337,97
143.934,65
91.788,55
86.21,50
28,31
125,65
125,65
150,75
150,75
206,86
206,86
143.934,65
129.1,55
143.6,65
181.1,75
73,43
78,49
97,55
127,65
165,75
165,75
250,86
250,86
280.7,85
214.8,65
242.5,75
113,55
113,55
77.5,42
93.8,49
113,55
154,65
154,65
154,65
53.5,43
24.1,31
201.6,85
63,42
101.3,64
68.5,55
47.2,34
47.2,34
47.2,34
42.76,30
42.76,30
42.76,30
60,42
78,48
99,55
124,65
98,55
124,65
198,85
198,85
198,85
113,55
113,55
113,55
155,65
155,65
155,65
220,77
220,77
220,77
174.7,75
145,85
39.9,39
113.8,55
278.5,85
152.2,85
248.6,75
68.4,49
54,42
128.1,64
123.8,55
182.7,64
208.3,75
256.4,98
48.68,40
74.74,55
96.3,65
78.5,50
55.635,42
34.67,32
440.5,97
101.1,75
45.5,43
110.15,70
23.298,32
35.598,43
35.1,39
349,88
349,88
183,77
96.1,55
101.3,64
101.3,64
101.3,64
101.3,64
27.25,22
40.45,32
81.3,49
90.5,55
119.3,65
24.687,32
103.6,55
122.1,65
15.8694,19
178,77
178,77
178,77
99.1,49
99.1,49
102.3,55
102.3,55
129.8,65
129.8,65
153.1,75
153.1,75
144.1,75
144.1,75
136.6,55
136.6,55
47.1,42
52.3,49
55.5,55
74.4,64
113.6,75
85.767,50
142.4,65
142.4,65
17.0946,24
48.19,32
147.7,77
73,43
73,43
78,49
78,49
97,55
97,55
127,65
127,65
165,75
165,75
250,86
250,86
51.12,43
67.75,50
63.89,55
82.49,65
114.36,75
56.7,49
106,55
132,65
102.36,49
50.5,40
50.5,40
15.1,16
125,65
150,75
206,86
113.9,65
70,43
82,43
72,49
68,49
92,55
87,55
114,65
109,65
126,75
130,75
230.268,85
337,97
99.5,55
99.5,55
114.8,65
114.8,65
28,31
28,31
28,31
28,31
28,31
40,39
40,39
40,39
40,39
40,39
64.97,43
64.97,43
65.78,50
65.78,50
77.8,55
77.8,55
102.3,65
102.3,65
127.12,75
127.12,75
177.41,85
177.41,85
77.8,55
64.97,43
65.78,50
102.3,65
127.12,75
177.41,85
96.5,55
107.8,43
168.3,55
237.1,65
17.8,21
21,24
65.8,42
65.8,42
65.8,42
91.788,55
34,32
34,32
34,32
84,55
68,49
306,85
70,43
70,43
70,43
81,55
81,55
81,55
139,75
139,75
139,75
116,65
116,65
116,65
80,49
80,49
80,49
234.49,65
90.1,42
90.1,42
90.1,42
90.1,42
90.1,42
102.9,64
102.9,64
102.9,64
102.9,64
102.9,64
50.73,43
64.71,55
35.3,32
110,64
97.8,55
174.4,85
389,98
76,49
31.4,32
35.6,39
27,31
81.54,55
102.36,65
216,77
212,83
258,97
53.5,43
137.1,75
137.1,75
137.1,75
137.1,75
137.1,75
25.58,24
80.814,55
80.814,55
80.814,55
80.814,55
80.814,55
323,98
323,98
323,98
323,98
323,98
75,49
75,49
75,49
75,49
75,49
43,43
45,49
59,55
65,65
70,75
82.05,55
82.05,55
109.65,65
109.65,65
157.47,75
157.47,75
217.19,85
217.19,85
82.05,55
109.65,65
157.47,75
217.19,85
41.53,43
22.6,24
77.8,55
77.8,55
77.8,55
77.8,55
77.8,55
69.15,49
69.15,49
69.15,49
69.15,49
69.15,49
115.82,55
129.47,65
199.04,75
82,55
130,75
130,75
130,75
25.2,22
25.2,22
25.2,22
25.2,22
74,43
25.2,22
83,50
90,55
78.5,50
16.5,24
20.3,24
20.3,24
20.3,24
178,77
25.03,24
43.25,32
144.63,75
117.13,65
86.66,55
25.7,32
82.7,42
27.7,31
46.8,39
137.7,75
289,98
289,98
289,98
65.85,50
76.53,55
91.87,65
107.18,75
51.44,43
51.44,43
51.44,43
51.44,43
145.2,70
22.8,32
29.07,40
133.75,65
133.75,65
161.33,75
161.33,75
133.75,65
161.33,75
27,31
35.6,39
50.3,49
53,55
52.9,42
69.9,49
82.3,55
86.5,57
94,64
158,64
95.274,65
66.6,49
101.3,65
110.3,60
110.3,60
110.3,60
44.91,40
44.91,40
40,39
40,39
40,39
40,39
40,39
86.23,55
86.23,55
31.51,32
31.51,32
240.73,85
72.19,50
72.19,50
110.3,60
110.3,60
110.3,60
192,83
192,83
192,83
192,83
85.64,55
85.64,55
140.56,65
140.56,65
154.66,75
154.66,75
85.64,55
140.56,65
154.66,75
141.108,65
141.108,65
87.678,55
87.678,55
102.36,49
20.8,24
20.94,24
79.3,55
80.8,42
38,42
130.03,65
94.65,64
40,39
39,32
73.5,64
123.8,75
43.6,42
112,65
112,65
112,65
91.4,49
54.48,40
54.48,40
20.94,24
86.9,65
86.9,65
86.9,65
86.9,65
86.9,65
181.25,75
202.84,85
202.84,85
104.78,70
73.72,58
181.25,75
181.25,75
202.84,85
28.86,31
169.97,86
28.86,31
18.72,24
117.5,75
184.3,70
85.2,65
66.62,49
197.4,97
237.4,98
51.888,43
107.4,70
107.4,70
107.4,70
83.91,55
113.136,65
98.826,75
42.804,43
54.39,49
62.358,55
75.576,65
102.546,75
119.346,85
15.1,24
15.1,24
15.1,24
49.1,40
145,85
145,85
145,85
23.5,32
221.6,74
70,43
70,43
70,43
116,65
116,65
116,65
139,75
139,75
139,75
80,49
80,49
80,49
81,55
81,55
81,55
99.7,75
25.92,32
25.92,32
25.92,32
25.92,32
25.92,32
25.92,32
25.92,32
25.92,32
25.92,32
25.92,32
25.92,32
112.52,49
40.7,40
40.7,40
40.7,40
31.8,32
31.8,32
31.8,32
126.52,55
68.9,55
68.9,55
68.9,55
68.9,55
68.9,55
66.4,50
66.4,50
66.4,50
66.4,50
66.4,50
139.758,65
139.758,65
102.7,55
119.01,65
306.7,75
36,43
40,49
49,55
56,65
165.8,75
198.7,74
154.08,65
154.08,65
25.83,24
55.82,42
53.38,42
94.37,50
97.68,50
24.687,32
94.01,50
109.19,55
134.93,65
159.15,75
80,49
81,55
29.22,32
234.49,65
234.49,65
107.4,70
160.5,75
70,43
126,65
85.2,65
143,75
54.48,40
54.48,40
54.48,40
42.76,27
42.76,27
42.76,27
186.3,75
186.3,75
153.11,70
116.74,70
28.86,31
28.86,31
28.86,31
32.247,40
195.5,64
195.5,64
195.5,64
195.5,64
195.5,64
195.5,64
57.06,50
54.48,40
31.626,32
31.626,32
69.65,55
85.97,60
95.92,65
99.18,70
46.5216,40
46.5216,40
57.474,42
29.22,32
187.1,75
150.64,65
57.65,43
97.36,55
53.26,43
83.3,49
110.72,49
111.7,55
157,75
157,75
157,75
28.1,24
15.1,24
25.23,24
101.23,50
73.991,55
53.38,42
51.2,40
51.2,40
51.2,40
17.14,24
17.14,24
17.14,24
17.14,24
17.14,24
17.14,24
17.14,24
17.14,24
17.14,24
17.14,24
297.5,98
297.5,98
297.5,98
297.5,98
297.5,98
297.5,98
262,65
262,65
262,65
269,75
269,75
269,75
211,85
211,85
211,85
67,43
67,43
72,49
92,55
94,55
94,55
109,65
109,65
126,75
21.9,24
126,75
70,42
70,42
79,48
79,48
100,55
100,55
115,55
115,55
109,65
109,65
147,65
147,65
195,77
195,77
91.8,50
114,55
114,55
114,55
138,67
138,67
138,67
104.46,49
127.86,55
27,32
27,32
27,32
27,32
27,32
27,32
27,32
27,32
27,32
27,32
64.06,40
117.3,55
117.3,55
34.4,32
34.4,32
23.8,32
27.3,24
27.3,24
63,43
63,43
63,43
23.8,32
212,86
117.61,75
148,55
171.9,65
68,49
87,55
31.3,27
39.8,41
39.8,41
39.8,41
39.8,41
39.8,41
39.8,41
39.8,41
16.2,24
16.2,24
16.2,24
16.2,24
16.2,24
16.2,24
256,98
256,98
256,98
112,55
112,55
112,55
134,65
134,65
134,65
20.64,22
27,32
17.14,24
134,65
134,65
134,65
107.8,76
241.58,100
241.58,100
241.58,100
63.2,42
28.86,31
39.24,42
112,75
112,75
112,75
112,75
112,75
74,55
74,55
74,55
74,55
74,55
66,49
66,49
66,49
142,85
142,85
142,85
142,85
142,85
86,65
86,65
86,65
86,65
86,65
64,43
64,43
64,43
81,49
81,49
81,49
200.3,75
227.9,85
294,85
294,85
294,85
195,85
195,85
195,85
108,55
108,55
108,55
200,85
200,85
200,85
216,77
216,77
216,77
47.3,50
47.3,50
47.3,50
47.3,50
39.24,42
39.24,42
39.24,42
70,43
73,43
73,43
83,49
83,49
83,49
97,55
97,55
97,55
120,65
120,65
120,65
165,75
165,75
212,86
212,86
212,86
80,49
118,65
125,65
134,75
150,75
206,86
78,48
92,55
92,55
122,65
143,77
154,77
217,83
117.61,75
34.8,32
34.8,32
80,49
118,65
125,65
156,86
156,86
206,86
122,65
408.9,85
143,77
154,77
217,83
134,75
150,75
198,75
198,75
198,75
258,85
258,85
258,85
147,65
147,65
147,65
82,49
82,49
82,49
146,65
146,65
146,65
153,65
153,65
153,65
110,55
110,55
110,55
108,55
108,55
108,55
142,65
142,65
142,65
157,75
157,75
157,75
78,55
92,43
92,43
92,43
286,75
286,75
286,75
112,55
112,55
112,55
109,55
109,55
109,55
93,49
93,49
93,49
119,55
119,55
119,55
154,65
154,65
154,65
190,75
190,75
190,75
260,65
260,65
260,65
220,85
220,85
220,85
70,43
90,49
112,55
144,65
181,75
250,86
154,86
154,86
193,83
193,83
192,85
192,85
192,85
144,75
144,75
144,75
119,55
140,65
178,75
178,75
178,75
215,85
215,85
215,85
19.8,24
94,64
24.2,24
83.3,50
124,75
124,75
124,75
172,85
114,65
137,75
156.29,75
156.29,75
110.54,64
110.54,64
91.26,55
91.26,55
110.54,64
156.29,75
57.06,50
143,85
292.93,85
109,55
109,55
109,55
179.2,75
130,65
130,65
130,65
229.8,85
338,85
338,85
338,85
114,65
114,65
114,65
137,75
137,75
137,75
137,75
143,85
143,85
143,85
143,85
53.12,42
272.5,85
238.4,75
163,75
163,75
163,75
163,75
25.3,24
25.3,24
25.3,24
25.3,24
25.3,24
25.3,24
25.3,24
73,49
22.1,24
22.1,24
22.1,24
22.1,24
22.1,24
22.1,24
22.1,24
103.3,55
248.9,85
143.934,65
35.2,32
35.2,32
35.2,32
35.2,32
35.2,32
35.2,32
35.2,32
35.8,32
80,48
204.81,75
